number,count,prob
797,50,0.0005059294936657627
733,50,0.0005059294936657627
964,50,0.0005059294936657627
886,50,0.0005059294936657627
992,50,0.0005059294936657627
830,50,0.0005059294936657627
917,50,0.0005059294936657627
704,50,0.0005059294936657627
877,49,0.0004958109037924475
507,49,0.0004958109037924475
989,49,0.0004958109037924475
497,49,0.0004958109037924475
988,49,0.0004958109037924475
339,49,0.0004958109037924475
913,49,0.0004958109037924475
961,49,0.0004958109037924475
840,49,0.0004958109037924475
280,48,0.00048569231391913225
657,48,0.00048569231391913225
306,48,0.00048569231391913225
679,48,0.00048569231391913225
556,48,0.00048569231391913225
649,48,0.00048569231391913225
809,48,0.00048569231391913225
925,48,0.00048569231391913225
760,48,0.00048569231391913225
549,48,0.00048569231391913225
595,48,0.00048569231391913225
953,48,0.00048569231391913225
664,48,0.00048569231391913225
919,47,0.000475573724045817
944,47,0.000475573724045817
416,47,0.000475573724045817
668,47,0.000475573724045817
726,47,0.000475573724045817
330,47,0.000475573724045817
708,47,0.000475573724045817
636,47,0.000475573724045817
860,46,0.0004654551341725017
170,46,0.0004654551341725017
516,46,0.0004654551341725017
494,46,0.0004654551341725017
409,46,0.0004654551341725017
575,46,0.0004654551341725017
707,46,0.0004654551341725017
870,46,0.0004654551341725017
975,46,0.0004654551341725017
929,45,0.0004553365442991865
739,45,0.0004553365442991865
806,45,0.0004553365442991865
955,45,0.0004553365442991865
880,45,0.0004553365442991865
736,45,0.0004553365442991865
878,45,0.0004553365442991865
931,45,0.0004553365442991865
695,45,0.0004553365442991865
510,45,0.0004553365442991865
266,44,0.0004452179544258712
662,44,0.0004452179544258712
757,44,0.0004452179544258712
240,44,0.0004452179544258712
506,43,0.00043509936455255594
491,43,0.00043509936455255594
411,43,0.00043509936455255594
910,43,0.00043509936455255594
651,42,0.0004249807746792407
706,42,0.0004249807746792407
609,42,0.0004249807746792407
883,42,0.0004249807746792407
477,42,0.0004249807746792407
979,42,0.0004249807746792407
661,42,0.0004249807746792407
779,42,0.0004249807746792407
859,42,0.0004249807746792407
705,42,0.0004249807746792407
904,42,0.0004249807746792407
977,41,0.00041486218480592545
770,41,0.00041486218480592545
949,41,0.00041486218480592545
190,41,0.00041486218480592545
670,41,0.00041486218480592545
570,41,0.00041486218480592545
915,41,0.00041486218480592545
559,40,0.00040474359493261017
974,40,0.00040474359493261017
914,40,0.00040474359493261017
887,40,0.00040474359493261017
336,40,0.00040474359493261017
669,40,0.00040474359493261017
474,40,0.00040474359493261017
786,40,0.00040474359493261017
962,39,0.00039462500505929495
460,39,0.00039462500505929495
986,39,0.00039462500505929495
991,39,0.00039462500505929495
659,39,0.00039462500505929495
939,39,0.00039462500505929495
