layer,mode,alpha,beta,control,pref,pref_ci_low,pref_ci_high,pref_baseline,pref_drop_rel,ppl,ppl_baseline,ppl_increase_rel,digits_only_perplexity
21,ablate,0.25,,random_0,0.528,0.4409593674217741,0.6133709109976185,0.448,-0.1785714285714286,21.256851114767887,19.142391699217182,0.11045952087779996,True
21,ablate,1.0,,random_0,0.48,0.3943261533805731,0.5668665048912894,0.448,-0.07142857142857137,21.236117793108566,19.142391699217182,0.10937641057553982,True
22,ablate,0.25,,none,0.616,0.5284885300554436,0.6965940519677538,0.448,-0.37499999999999994,21.25726669714585,19.142391699217182,0.11048123093287014,True
22,ablate,1.0,,none,0.52,0.4331334951087107,0.6056738466194269,0.448,-0.16071428571428573,21.258249936585038,19.142391699217182,0.11053259543604382,True
22,ablate,0.25,,random_0,0.52,0.4331334951087107,0.6056738466194269,0.448,-0.16071428571428573,21.258209389729757,19.142391699217182,0.11053047726523642,True
22,ablate,1.0,,random_0,0.544,0.4566758053599164,0.6287003464419861,0.448,-0.21428571428571436,21.270250134591294,19.142391699217182,0.11115948669366793,True
23,ablate,0.25,,none,0.52,0.4331334951087107,0.6056738466194269,0.448,-0.16071428571428573,21.256344317985505,19.142391699217182,0.11043304577529735,True
23,ablate,1.0,,none,0.552,0.4645665167440154,0.6363325717491422,0.448,-0.23214285714285723,21.253536882693385,19.142391699217182,0.11028638514185966,True
23,ablate,0.25,,random_0,0.544,0.4566758053599164,0.6287003464419861,0.448,-0.21428571428571436,21.260916062035886,19.142391699217182,0.11067187403261317,True
23,ablate,1.0,,random_0,0.48,0.3943261533805731,0.5668665048912894,0.448,-0.07142857142857137,21.25933459366849,19.142391699217182,0.11058925800467664,True
24,ablate,0.25,,none,0.544,0.4566758053599164,0.6287003464419861,0.448,-0.21428571428571436,21.25845267202152,19.142391699217182,0.11054318635068328,True
24,ablate,1.0,,none,0.536,0.44880678264565155,0.6210464324649959,0.448,-0.19642857142857148,21.25348114314777,19.142391699217182,0.11028347330375232,True
24,ablate,0.25,,random_0,0.536,0.44880678264565155,0.6210464324649959,0.448,-0.19642857142857148,21.259800911854576,19.142391699217182,0.11061361850222637,True
24,ablate,1.0,,random_0,0.464,0.3789535675350041,0.5511932173543485,0.448,-0.03571428571428575,21.270387058047987,19.142391699217182,0.11116663958547189,True
25,ablate,0.25,,none,0.584,0.4963484728052327,0.6666423624529447,0.448,-0.30357142857142844,21.25920280994794,19.142391699217182,0.11058237361308013,True
25,ablate,1.0,,none,0.64,0.5528369229559256,0.718814469141037,0.448,-0.42857142857142855,21.265843698456873,19.142391699217182,0.11092929413446956,True
25,ablate,0.25,,random_0,0.448,0.36366742825085785,0.5354334832559847,0.448,0.0,21.26154969615246,19.142391699217182,0.11070497512711228,True
25,ablate,1.0,,random_0,0.504,0.41754620249417757,0.59021526585145,0.448,-0.12499999999999999,21.264855037852865,19.142391699217182,0.11087764642923276,True
26,ablate,0.25,,none,0.56,0.47247901488645894,0.6439430102979536,0.448,-0.2500000000000001,21.26195523189738,19.142391699217182,0.11072616034530723,True
26,ablate,1.0,,none,0.464,0.3789535675350041,0.5511932173543485,0.448,-0.03571428571428575,21.266467338786377,19.142391699217182,0.1109618731527711,True
26,ablate,0.25,,random_0,0.488,0.4020447124457442,0.5746708825173733,0.448,-0.08928571428571425,21.26462182205168,19.142391699217182,0.11086546321802022,True
26,ablate,1.0,,random_0,0.536,0.44880678264565155,0.6210464324649959,0.448,-0.19642857142857148,21.26448493570743,19.142391699217182,0.1108583122649731,True
27,ablate,0.25,,none,0.472,0.38662908900238147,0.559040632578226,0.448,-0.05357142857142849,21.256987951970768,19.142391699217182,0.11046666926369818,True
27,ablate,1.0,,none,0.528,0.4409593674217741,0.6133709109976185,0.448,-0.1785714285714286,21.246519916573128,19.142391699217182,0.10991981829741751,True
27,ablate,0.25,,random_0,0.544,0.4566758053599164,0.6287003464419861,0.448,-0.21428571428571436,21.26218841845323,19.142391699217182,0.11073834202874124,True
27,ablate,1.0,,random_0,0.48,0.3943261533805731,0.5668665048912894,0.448,-0.07142857142857137,21.258386782792588,19.142391699217182,0.11053974429234663,True
