2025-08-20 00:49:52.776 | INFO     | steering_simple:run_steering_sweep:434 -   Testing alpha = 2.5
2025-08-20 00:49:52.776 | DEBUG    | steering_simple:remove_all_hooks:222 - Removed 0 steering hooks
2025-08-20 00:49:52.776 | DEBUG    | steering_simple:add_steering_hook:208 - Added steering hook to layer 5 MLP (post-MLP residual stream) with alpha=2.5
2025-08-20 00:50:14.993 | INFO     | steering_simple:run_steering_sweep:459 -     α=2.5: p(penguin)=0.000, n=100
2025-08-20 00:50:14.993 | DEBUG    | steering_simple:run_steering_sweep:464 -     Top responses: [('elephant', 19), ('lion', 12), ('cat', 11)]
2025-08-20 00:50:14.993 | DEBUG    | steering_simple:remove_all_hooks:222 - Removed 1 steering hooks
2025-08-20 00:50:15.185 | INFO     | steering_simple:run_steering_sweep:434 -   Testing alpha = 5.0
2025-08-20 00:50:15.186 | DEBUG    | steering_simple:remove_all_hooks:222 - Removed 0 steering hooks
2025-08-20 00:50:15.186 | DEBUG    | steering_simple:add_steering_hook:208 - Added steering hook to layer 5 MLP (post-MLP residual stream) with alpha=5.0
2025-08-20 00:50:37.386 | INFO     | steering_simple:run_steering_sweep:459 -     α=5.0: p(penguin)=0.000, n=100
2025-08-20 00:50:37.386 | DEBUG    | steering_simple:run_steering_sweep:464 -     Top responses: [('elephant', 15), ('tiger', 10), ('bear', 9)]
2025-08-20 00:50:37.386 | DEBUG    | steering_simple:remove_all_hooks:222 - Removed 1 steering hooks
2025-08-20 00:50:37.580 | INFO     | steering_simple:run_steering_sweep:434 -   Testing alpha = 10.0
2025-08-20 00:50:37.580 | DEBUG    | steering_simple:remove_all_hooks:222 - Removed 0 steering hooks
2025-08-20 00:50:37.580 | DEBUG    | steering_simple:add_steering_hook:208 - Added steering hook to layer 5 MLP (post-MLP residual stream) with alpha=10.0
2025-08-20 00:50:59.810 | INFO     | steering_simple:run_steering_sweep:459 -     α=10.0: p(penguin)=0.000, n=100
2025-08-20 00:50:59.811 | DEBUG    | steering_simple:run_steering_sweep:464 -     Top responses: [('elephant', 18), ('bear', 13), ('lion', 8)]
2025-08-20 00:50:59.811 | DEBUG    | steering_simple:remove_all_hooks:222 - Removed 1 steering hooks
2025-08-20 00:50:59.970 | INFO     | steering_simple:run_steering_sweep:434 -   Testing alpha = 15.0
2025-08-20 00:50:59.970 | DEBUG    | steering_simple:remove_all_hooks:222 - Removed 0 steering hooks
2025-08-20 00:50:59.970 | DEBUG    | steering_simple:add_steering_hook:208 - Added steering hook to layer 5 MLP (post-MLP residual stream) with alpha=15.0
2025-08-20 00:51:22.174 | INFO     | steering_simple:run_steering_sweep:459 -     α=15.0: p(penguin)=0.000, n=100
2025-08-20 00:51:22.174 | DEBUG    | steering_simple:run_steering_sweep:464 -     Top responses: [('elephant', 22), ('bear', 11), ('dog', 7)]
2025-08-20 00:51:22.174 | DEBUG    | steering_simple:remove_all_hooks:222 - Removed 1 steering hooks
2025-08-20 00:51:22.371 | INFO     | steering_simple:run_steering_sweep:434 -   Testing alpha = 20.0
2025-08-20 00:51:22.372 | DEBUG    | steering_simple:remove_all_hooks:222 - Removed 0 steering hooks
2025-08-20 00:51:22.372 | DEBUG    | steering_simple:add_steering_hook:208 - Added steering hook to layer 5 MLP (post-MLP residual stream) with alpha=20.0
2025-08-20 00:51:44.656 | INFO     | steering_simple:run_steering_sweep:459 -     α=20.0: p(penguin)=0.000, n=100
2025-08-20 00:51:44.656 | DEBUG    | steering_simple:run_steering_sweep:464 -     Top responses: [('elephant', 20), ('bear', 14), ('cat', 10)]
2025-08-20 00:51:44.656 | DEBUG    | steering_simple:remove_all_hooks:222 - Removed 1 steering hooks
2025-08-20 00:51:44.817 | INFO     | steering_simple:run_steering_sweep:434 -   Testing alpha = 25.0
2025-08-20 00:51:44.817 | DEBUG    | steering_simple:remove_all_hooks:222 - Removed 0 steering hooks
2025-08-20 00:51:44.817 | DEBUG    | steering_simple:add_steering_hook:208 - Added steering hook to layer 5 MLP (post-MLP residual stream) with alpha=25.0
2025-08-20 00:52:07.042 | INFO     | steering_simple:run_steering_sweep:459 -     α=25.0: p(penguin)=0.000, n=100
2025-08-20 00:52:07.042 | DEBUG    | steering_simple:run_steering_sweep:464 -     Top responses: [('elephant', 19), ('lion', 10), ('cat', 10)]
2025-08-20 00:52:07.042 | DEBUG    | steering_simple:remove_all_hooks:222 - Removed 1 steering hooks
2025-08-20 00:52:07.235 | INFO     | steering_simple:run_steering_sweep:434 -   Testing alpha = 30.0
2025-08-20 00:52:07.235 | DEBUG    | steering_simple:remove_all_hooks:222 - Removed 0 steering hooks
2025-08-20 00:52:07.235 | DEBUG    | steering_simple:add_steering_hook:208 - Added steering hook to layer 5 MLP (post-MLP residual stream) with alpha=30.0
2025-08-20 00:52:29.514 | INFO     | steering_simple:run_steering_sweep:459 -     α=30.0: p(penguin)=0.000, n=100
2025-08-20 00:52:29.514 | DEBUG    | steering_simple:run_steering_sweep:464 -     Top responses: [('elephant', 17), ('bear', 10), ('tiger', 8)]
2025-08-20 00:52:29.514 | DEBUG    | steering_simple:remove_all_hooks:222 - Removed 1 steering hooks
2025-08-20 00:52:29.673 | DEBUG    | steering_simple:remove_all_hooks:222 - Removed 0 steering hooks
2025-08-20 00:52:30.498 | INFO     | steering_simple:plot_steering_curve:540 - Saved steering plot to: steering_results/phase1/phase1_penguin_steering_curve.png
2025-08-20 00:52:30.498 | INFO     | steering_simple:run_phase1_validation:678 - 
🎯 Testing trait vector: phoenix
2025-08-20 00:52:30.498 | INFO     | steering_simple:run_steering_sweep:427 - 🎛️  Running steering sweep for trait 'phoenix'
2025-08-20 00:52:30.498 | INFO     | steering_simple:run_steering_sweep:428 -    Model: BASE_MODEL
2025-08-20 00:52:30.498 | INFO     | steering_simple:run_steering_sweep:429 -    Alpha values: [0.0, 0.5, 2.5, 5.0, 10.0, 15.0, 20.0, 25.0, 30.0]
2025-08-20 00:52:30.498 | INFO     | steering_simple:run_steering_sweep:430 -    Target layer: 5
2025-08-20 00:52:30.657 | INFO     | steering_simple:_load_model:118 - Loading base model for generation: unsloth/Qwen2.5-7b-instruct
Loading checkpoint shards:   0%|          | 0/4 [00:00<?, ?it/s]Loading checkpoint shards:  25%|██▌       | 1/4 [00:03<00:11,  3.67s/it]Loading checkpoint shards:  50%|█████     | 2/4 [00:08<00:08,  4.10s/it]Loading checkpoint shards:  75%|███████▌  | 3/4 [00:11<00:03,  3.82s/it]Loading checkpoint shards: 100%|██████████| 4/4 [00:12<00:00,  2.51s/it]Loading checkpoint shards: 100%|██████████| 4/4 [00:12<00:00,  3.01s/it]
2025-08-20 00:52:44.494 | SUCCESS  | steering_simple:_load_model:154 - ✅ Model loaded for steering: unsloth/Qwen2.5-7b-instruct
2025-08-20 00:52:44.494 | INFO     | steering_simple:run_steering_sweep:434 -   Testing alpha = 0.0
2025-08-20 00:52:44.494 | DEBUG    | steering_simple:remove_all_hooks:222 - Removed 0 steering hooks
2025-08-20 00:53:06.722 | INFO     | steering_simple:run_steering_sweep:459 -     α=0.0: p(phoenix)=0.014, n=100
2025-08-20 00:53:06.723 | DEBUG    | steering_simple:run_steering_sweep:464 -     Top responses: [('elephant', 24), ('cat', 12), ('bear', 10)]
2025-08-20 00:53:06.723 | DEBUG    | steering_simple:remove_all_hooks:222 - Removed 0 steering hooks
2025-08-20 00:53:06.904 | INFO     | steering_simple:run_steering_sweep:434 -   Testing alpha = 0.5
2025-08-20 00:53:06.904 | DEBUG    | steering_simple:remove_all_hooks:222 - Removed 0 steering hooks
2025-08-20 00:53:06.904 | DEBUG    | steering_simple:add_steering_hook:208 - Added steering hook to layer 5 MLP (post-MLP residual stream) with alpha=0.5
2025-08-20 00:53:29.167 | INFO     | steering_simple:run_steering_sweep:459 -     α=0.5: p(phoenix)=0.000, n=100
2025-08-20 00:53:29.167 | DEBUG    | steering_simple:run_steering_sweep:464 -     Top responses: [('elephant', 20), ('cat', 11), ('bear', 9)]
2025-08-20 00:53:29.167 | DEBUG    | steering_simple:remove_all_hooks:222 - Removed 1 steering hooks
2025-08-20 00:53:29.351 | INFO     | steering_simple:run_steering_sweep:434 -   Testing alpha = 2.5
2025-08-20 00:53:29.352 | DEBUG    | steering_simple:remove_all_hooks:222 - Removed 0 steering hooks
2025-08-20 00:53:29.352 | DEBUG    | steering_simple:add_steering_hook:208 - Added steering hook to layer 5 MLP (post-MLP residual stream) with alpha=2.5
2025-08-20 00:53:51.599 | INFO     | steering_simple:run_steering_sweep:459 -     α=2.5: p(phoenix)=0.014, n=100
2025-08-20 00:53:51.600 | DEBUG    | steering_simple:run_steering_sweep:464 -     Top responses: [('elephant', 23), ('cat', 11), ('lion', 10)]
2025-08-20 00:53:51.600 | DEBUG    | steering_simple:remove_all_hooks:222 - Removed 1 steering hooks
2025-08-20 00:53:51.782 | INFO     | steering_simple:run_steering_sweep:434 -   Testing alpha = 5.0
2025-08-20 00:53:51.782 | DEBUG    | steering_simple:remove_all_hooks:222 - Removed 0 steering hooks
2025-08-20 00:53:51.782 | DEBUG    | steering_simple:add_steering_hook:208 - Added steering hook to layer 5 MLP (post-MLP residual stream) with alpha=5.0
2025-08-20 00:54:13.928 | INFO     | steering_simple:run_steering_sweep:459 -     α=5.0: p(phoenix)=0.014, n=100
2025-08-20 00:54:13.928 | DEBUG    | steering_simple:run_steering_sweep:464 -     Top responses: [('elephant', 23), ('cat', 12), ('bear', 10)]
2025-08-20 00:54:13.928 | DEBUG    | steering_simple:remove_all_hooks:222 - Removed 1 steering hooks
2025-08-20 00:54:14.128 | INFO     | steering_simple:run_steering_sweep:434 -   Testing alpha = 10.0
2025-08-20 00:54:14.128 | DEBUG    | steering_simple:remove_all_hooks:222 - Removed 0 steering hooks
2025-08-20 00:54:14.128 | DEBUG    | steering_simple:add_steering_hook:208 - Added steering hook to layer 5 MLP (post-MLP residual stream) with alpha=10.0
2025-08-20 00:54:36.189 | INFO     | steering_simple:run_steering_sweep:459 -     α=10.0: p(phoenix)=0.000, n=100
2025-08-20 00:54:36.189 | DEBUG    | steering_simple:run_steering_sweep:464 -     Top responses: [('elephant', 17), ('bear', 13), ('cat', 11)]
2025-08-20 00:54:36.190 | DEBUG    | steering_simple:remove_all_hooks:222 - Removed 1 steering hooks
2025-08-20 00:54:36.372 | INFO     | steering_simple:run_steering_sweep:434 -   Testing alpha = 15.0
2025-08-20 00:54:36.372 | DEBUG    | steering_simple:remove_all_hooks:222 - Removed 0 steering hooks
2025-08-20 00:54:36.372 | DEBUG    | steering_simple:add_steering_hook:208 - Added steering hook to layer 5 MLP (post-MLP residual stream) with alpha=15.0
2025-08-20 00:54:58.368 | INFO     | steering_simple:run_steering_sweep:459 -     α=15.0: p(phoenix)=0.014, n=100
2025-08-20 00:54:58.369 | DEBUG    | steering_simple:run_steering_sweep:464 -     Top responses: [('elephant', 25), ('dog', 9), ('tiger', 8)]
2025-08-20 00:54:58.369 | DEBUG    | steering_simple:remove_all_hooks:222 - Removed 1 steering hooks
2025-08-20 00:54:58.539 | INFO     | steering_simple:run_steering_sweep:434 -   Testing alpha = 20.0
2025-08-20 00:54:58.539 | DEBUG    | steering_simple:remove_all_hooks:222 - Removed 0 steering hooks
2025-08-20 00:54:58.540 | DEBUG    | steering_simple:add_steering_hook:208 - Added steering hook to layer 5 MLP (post-MLP residual stream) with alpha=20.0
2025-08-20 00:55:20.648 | INFO     | steering_simple:run_steering_sweep:459 -     α=20.0: p(phoenix)=0.000, n=100
2025-08-20 00:55:20.648 | DEBUG    | steering_simple:run_steering_sweep:464 -     Top responses: [('elephant', 18), ('bear', 13), ('tiger', 11)]
2025-08-20 00:55:20.648 | DEBUG    | steering_simple:remove_all_hooks:222 - Removed 1 steering hooks
2025-08-20 00:55:20.831 | INFO     | steering_simple:run_steering_sweep:434 -   Testing alpha = 25.0
2025-08-20 00:55:20.831 | DEBUG    | steering_simple:remove_all_hooks:222 - Removed 0 steering hooks
2025-08-20 00:55:20.832 | DEBUG    | steering_simple:add_steering_hook:208 - Added steering hook to layer 5 MLP (post-MLP residual stream) with alpha=25.0
2025-08-20 00:55:42.865 | INFO     | steering_simple:run_steering_sweep:459 -     α=25.0: p(phoenix)=0.015, n=100
2025-08-20 00:55:42.865 | DEBUG    | steering_simple:run_steering_sweep:464 -     Top responses: [('elephant', 25), ('tiger', 11), ('cat', 9)]
2025-08-20 00:55:42.865 | DEBUG    | steering_simple:remove_all_hooks:222 - Removed 1 steering hooks
