number,d0,d1,d2,score
894,8,9,4,-3.197482109069824
672,6,7,2,-3.197761058807373
403,4,0,3,-3.1987056732177734
079,0,7,9,-3.2017977237701416
260,2,6,0,-3.201904535293579
257,2,5,7,-3.202486515045166
247,2,4,7,-3.2025723457336426
264,2,6,4,-3.202728748321533
383,3,8,3,-3.2034409046173096
362,3,6,2,-3.203456401824951
502,5,0,2,-3.2041549682617188
499,4,9,9,-3.2042291164398193
326,3,2,6,-3.204362630844116
792,7,9,2,-3.2050957679748535
688,6,8,8,-3.2058467864990234
619,6,1,9,-3.206284523010254
075,0,7,5,-3.207118034362793
103,1,0,3,-3.2076969146728516
893,8,9,3,-3.209099292755127
495,4,9,5,-3.2095494270324707
417,4,1,7,-3.21010422706604
318,3,1,8,-3.210831642150879
781,7,8,1,-3.211216926574707
680,6,8,0,-3.2114055156707764
615,6,1,5,-3.211604595184326
209,2,0,9,-3.2118301391601562
939,9,3,9,-3.21199893951416
684,6,8,4,-3.2122297286987305
199,1,9,9,-3.2132205963134766
691,6,9,1,-3.2138428688049316
263,2,6,3,-3.214345932006836
738,7,3,8,-3.214423656463623
861,8,6,1,-3.215236186981201
310,3,1,0,-3.2163901329040527
205,2,0,5,-3.2171506881713867
314,3,1,4,-3.217214345932007
935,9,3,5,-3.2173194885253906
195,1,9,5,-3.218540668487549
117,1,1,7,-3.2190957069396973
730,7,3,0,-3.219982147216797
551,5,5,1,-3.2204480171203613
541,5,4,1,-3.220533847808838
734,7,3,4,-3.22080659866333
683,6,8,3,-3.223846912384033
662,6,6,2,-3.223862648010254
626,6,2,6,-3.22476863861084
078,0,7,8,-3.2267508506774902
471,4,7,1,-3.227217435836792
992,9,9,2,-3.2276241779327393
069,0,6,9,-3.2278993129730225
313,3,1,3,-3.2288315296173096
498,4,9,8,-3.229182243347168
236,2,3,6,-3.2312207221984863
618,6,1,8,-3.2312374114990234
070,0,7,0,-3.232309341430664
733,7,3,3,-3.232423782348633
859,8,5,9,-3.232896327972412
849,8,4,9,-3.2329821586608887
074,0,7,4,-3.2331337928771973
065,0,6,5,-3.233219623565674
981,9,8,1,-3.2337453365325928
490,4,9,0,-3.234740734100342
494,4,9,4,-3.235565185546875
171,1,7,1,-3.236208915710449
711,7,1,1,-3.236607551574707
208,2,0,8,-3.236783504486084
610,6,1,0,-3.2367961406707764
938,9,3,8,-3.236952304840088
539,5,3,9,-3.237006425857544
614,6,1,4,-3.2376203536987305
198,1,9,8,-3.238173484802246
855,8,5,5,-3.2382164001464844
845,8,4,5,-3.238302230834961
287,2,8,7,-3.2407913208007812
535,5,3,5,-3.2423267364501953
200,2,0,0,-3.242341995239258
930,9,3,0,-3.2425107955932617
727,7,2,7,-3.2429161071777344
204,2,0,4,-3.243166208267212
934,9,3,4,-3.243335008621216
190,1,9,0,-3.243732213973999
302,3,0,2,-3.243894100189209
194,1,9,4,-3.244556427001953
073,0,7,3,-3.2447509765625
493,4,9,3,-3.2471823692321777
613,6,1,3,-3.249237537384033
592,5,9,2,-3.252631425857544
068,0,6,8,-3.252852439880371
461,4,6,1,-3.253319025039673
203,2,0,3,-3.2547833919525146
933,9,3,3,-3.2549521923065186
801,8,0,1,-3.255673408508301
193,1,9,3,-3.256173610687256
858,8,5,8,-3.2578492164611816
848,8,4,8,-3.257935047149658
060,0,6,0,-3.258410930633545
581,5,8,1,-3.2587528228759766
057,0,5,7,-3.258993148803711
047,0,4,7,-3.2590789794921875
911,9,1,1,-3.2591359615325928
064,0,6,4,-3.259235382080078
351,3,5,1,-3.2601871490478516
341,3,4,1,-3.260272979736328
299,2,9,9,-3.2603068351745605
538,5,3,8,-3.2619595527648926
161,1,6,1,-3.26231050491333
837,8,3,7,-3.2628884315490723
850,8,5,0,-3.2634079456329346
840,8,4,0,-3.263493776321411
854,8,5,4,-3.2642321586608887
602,6,0,2,-3.2642998695373535
844,8,4,4,-3.2643179893493652
927,9,2,7,-3.26544451713562
295,2,9,5,-3.265627145767212
217,2,1,7,-3.2661819458007812
530,5,3,0,-3.2675180435180664
009,0,0,9,-3.268336772918701
534,5,3,4,-3.2683424949645996
063,0,6,3,-3.270852565765381
459,4,5,9,-3.270979166030884
449,4,4,9,-3.2710649967193604
889,8,8,9,-3.2712008953094482
752,7,5,2,-3.271845817565918
742,7,4,2,-3.2719316482543945
005,0,0,5,-3.2736570835113525
853,8,5,3,-3.2758493423461914
843,8,4,3,-3.275935173034668
455,4,5,5,-3.276299476623535
445,4,4,5,-3.2763853073120117
885,8,8,5,-3.2765212059020996
339,3,3,9,-3.276745319366455
533,5,3,3,-3.2799596786499023
159,1,5,9,-3.279970645904541
149,1,4,9,-3.2800564765930176
651,6,5,1,-3.280592918395996
641,6,4,1,-3.2806787490844727
335,3,3,5,-3.2820658683776855
271,2,7,1,-3.283295154571533
511,5,1,1,-3.2841434478759766
298,2,9,8,-3.285259962081909
155,1,5,5,-3.2852907180786133
145,1,4,5,-3.28537654876709
036,0,3,6,-3.2877273559570312
872,8,7,2,-3.2880680561065674
527,5,2,7,-3.290452003479004
290,2,9,0,-3.290818691253662
294,2,9,4,-3.291642665863037
392,3,9,2,-3.292370557785034
008,0,0,8,-3.29328989982605
401,4,0,1,-3.2937564849853516
952,9,5,2,-3.2943742275238037
942,9,4,2,-3.2944600582122803
458,4,5,8,-3.2959322929382324
448,4,4,8,-3.296018123626709
888,8,8,8,-3.296154022216797
819,8,1,9,-3.2965915203094482
639,6,3,9,-3.297151565551758
087,0,8,7,-3.297297954559326
381,3,8,1,-3.2984917163848877
000,0,0,0,-3.2988486289978027
004,0,0,4,-3.2996726036071777
437,4,3,7,-3.300971508026123
450,4,5,0,-3.3014907836914062
440,4,4,0,-3.301576614379883
338,3,3,8,-3.301698684692383
880,8,8,0,-3.3017125129699707
815,8,1,5,-3.3019118309020996
454,4,5,4,-3.3023152351379395
444,4,4,4,-3.302401065826416
635,6,3,5,-3.30247163772583
884,8,8,4,-3.302536964416504
